小区名称,建筑面积(㎡),户型,所在区域,装修情况,成交单价(元/㎡)
步步高九华新天地,92.3,3室2厅,九华-管委会,简装,6300
步步高九华新天地,118.7,4室2厅,九华-管委会,精装,7000
步步高九华新天地,81.5,2室2厅,九华-管委会,毛坯,5500
步步高九华新天地,98.6,3室2厅,九华-管委会,简装,6100
步步高九华新天地,75.2,2室1厅,九华-管委会,简装,5900
金侨城,118.7,4室2厅,九华-吉利路,毛坯,5900
金侨城,94.3,3室2厅,九华-吉利路,简装,5700
金侨城,85.6,3室1厅,九华-吉利路,简装,5500
金侨城,72.4,2室1厅,九华-吉利路,毛坯,5000
金侨城,105.8,3室2厅,九华-吉利路,精装,6400
五矿万境水岸,102.4,3室2厅,九华-湘江路,简装,6500
五矿万境水岸,87.3,3室1厅,九华-湘江路,毛坯,5700
五矿万境水岸,87.3,3室1厅,九华-湘江路,毛坯,5700
五矿万境水岸,95.8,3室2厅,九华-湘江路,简装,6300
五矿万境水岸,78.5,2室1厅,九华-湘江路,简装,6100
湘江富力城,125.2,4室2厅,九华-沿江路,毛坯,5300
湘江富力城,89.4,3室1厅,九华-沿江路,简装,5600
湘江富力城,76.3,2室1厅,九华-沿江路,毛坯,4900
湘江富力城,76.3,2室1厅,九华-沿江路,毛坯,4900
湘江富力城,108.5,3室2厅,九华-沿江路,精装,6100
长房潭房时代公馆,106.7,3室2厅,九华-莲城大道,简装,6200
长房潭房时代公馆,122.3,4室2厅,九华-莲城大道,精装,6900
长房潭房时代公馆,84.5,3室1厅,九华-莲城大道,毛坯,5400
长房潭房时代公馆,93.2,3室2厅,九华-莲城大道,简装,6000
长房潭房时代公馆,77.8,2室1厅,九华-莲城大道,简装,5800
新城雅樾,91.5,3室2厅,九华-开源路,简装,5800
新城雅樾,107.6,3室2厅,九华-开源路,精装,6500
新城雅樾,82.3,2室2厅,九华-开源路,毛坯,5100
新城雅樾,75.4,2室1厅,九华-开源路,简装,5600
新城雅樾,115.8,4室2厅,九华-开源路,精装,6800
恒大书香门第,98.4,3室2厅,九华-科大附校,简装,6400
恒大书香门第,113.7,4室2厅,九华-科大附校,精装,7100
恒大书香门第,86.2,3室1厅,九华-科大附校,毛坯,5600
恒大书香门第,79.6,2室1厅,九华-科大附校,简装,6000
恒大书香门第,79.6,2室1厅,九华-科大附校,简装,6000
东方明珠,88.7,3室1厅,九华-步步高大道,简装,5700
东方明珠,103.2,3室2厅,九华-步步高大道,毛坯,5000
东方明珠,73.5,2室1厅,九华-步步高大道,简装,5500
东方明珠,95.6,3室2厅,九华-步步高大道,简装,5900
东方明珠,112.4,4室2厅,九华-步步高大道,精装,6500
华融湘江学府,93.8,3室2厅,九华-学府路,简装,5600
华融湘江学府,109.5,3室2厅,九华-学府路,精装,6300
华融湘江学府,81.7,2室2厅,九华-学府路,毛坯,4900
华融湘江学府,76.2,2室1厅,九华-学府路,简装,5400
华融湘江学府,116.3,4室2厅,九华-学府路,精装,6600
和园小区,85.4,3室1厅,九华-吉利西路,简装,5500
和园小区,99.6,3室2厅,九华-吉利西路,毛坯,4800
和园小区,72.8,2室1厅,九华-吉利西路,简装,5300
和园小区,104.3,3室2厅,九华-吉利西路,简装,5700
和园小区,111.2,4室2厅,九华-吉利西路,精装,6200
润和城,105.7,3室2厅,九华-湘江北路,简装,6100
润和城,123.5,4室2厅,九华-湘江北路,精装,6800
润和城,89.3,3室1厅,九华-湘江北路,毛坯,5300
润和城,96.8,3室2厅,九华-湘江北路,简装,5900
润和城,78.4,2室1厅,九华-湘江北路,简装,5700
富力城御西湖,110.8,3室2厅,九华-沿江北路,简装,6000
富力城御西湖,128.6,4室2厅,九华-沿江北路,精装,6700
富力城御西湖,86.7,3室1厅,九华-沿江北路,简装,5800
富力城御西湖,86.7,3室1厅,九华-沿江北路,简装,5800
富力城御西湖,79.2,2室1厅,九华-沿江北路,简装,5600
美的莲城首府,103.6,3室2厅,九华-白云路,简装,6300
美的莲城首府,121.4,4室2厅,九华-白云路,精装,7000
美的莲城首府,88.5,3室1厅,九华-白云路,毛坯,5500
美的莲城首府,95.3,3室2厅,九华-白云路,简装,6100
美的莲城首府,77.5,2室1厅,九华-白云路,简装,5900
九华世纪城,89.6,3室2厅,九华-莲城大道,简装,5900
九华世纪城,106.8,3室2厅,九华-莲城大道,精装,6600
九华世纪城,83.2,2室2厅,九华-莲城大道,毛坯,5200
九华世纪城,74.8,2室1厅,九华-莲城大道,简装,5700
九华世纪城,114.5,4室2厅,九华-莲城大道,精装,6900
侨城半岛,97.2,3室2厅,九华-湘江路,简装,5700
侨城半岛,112.3,4室2厅,九华-湘江路,精装,6400
侨城半岛,85.6,3室1厅,九华-湘江路,毛坯,5000
侨城半岛,93.4,3室2厅,九华-湘江路,简装,5500
侨城半岛,78.7,2室1厅,九华-湘江路,简装,5300
碧桂园大学印象,108.5,3室2厅,九华-湘潭大学,简装,6200
碧桂园大学印象,125.7,4室2厅,九华-湘潭大学,精装,6900
碧桂园大学印象,87.8,3室1厅,九华-湘潭大学,毛坯,5400
碧桂园大学印象,96.3,3室2厅,九华-湘潭大学,简装,6000
碧桂园大学印象,79.9,2室1厅,九华-湘潭大学,简装,5800
步步高置业新天地,94.7,3室2厅,九华-核心商圈,简装,6100
步步高置业新天地,110.3,4室2厅,九华-核心商圈,精装,6800
步步高置业新天地,82.6,2室2厅,九华-核心商圈,毛坯,5300
步步高置业新天地,76.5,2室1厅,九华-核心商圈,简装,5900
步步高置业新天地,105.4,3室2厅,九华-核心商圈,精装,6600
