小区名称,建筑面积(㎡),户型,所在区域,装修情况,成交单价(元/㎡)
建鑫国际,89.2,3室2厅,岳塘-建设路口,简装,6800
建鑫国际,112.5,4室2厅,岳塘-建设路口,精装,7500
建鑫国际,75.6,2室1厅,岳塘-建设路口,毛坯,6000
建鑫国际,98.3,3室2厅,岳塘-建设路口,精装,7200
建鑫国际,62.8,1室1厅,岳塘-建设路口,简装,6500
天元广场,78.3,2室1厅,岳塘-芙蓉路,精装,8200
天元广场,105.7,3室2厅,岳塘-芙蓉路,毛坯,6900
天元广场,122.4,4室2厅,岳塘-芙蓉路,精装,8000
天元广场,86.9,3室1厅,岳塘-芙蓉路,简装,9100
天元广场,93.5,3室2厅,岳塘-芙蓉路,毛坯,6700
万达华府,95.1,3室2厅,岳塘-万达商圈,简装,7600
万达华府,116.8,4室2厅,岳塘-万达商圈,精装,8200
万达华府,82.7,2室2厅,岳塘-万达商圈,毛坯,6800
万达华府,70.2,2室1厅,岳塘-万达商圈,简装,7300
万达华府,102.3,3室2厅,岳塘-万达商圈,精装,8100
融城雅园,88.4,3室1厅,岳塘-板塘铺,简装,6200
融城雅园,109.6,3室2厅,岳塘-板塘铺,精装,6900
融城雅园,76.2,2室1厅,岳塘-板塘铺,毛坯,5500
融城雅园,76.2,2室1厅,岳塘-板塘铺,毛坯,5500
融城雅园,94.8,3室2厅,岳塘-板塘铺,简装,6100
融城雅园,65.3,2室1厅,岳塘-板塘铺,简装,5900
东方名苑,128.5,4室2厅,岳塘-湖湘公园,精装,8500
东方名苑,97.6,3室2厅,岳塘-湖湘公园,简装,7400
东方名苑,110.2,3室2厅,岳塘-湖湘公园,精装,8200
东方名苑,83.4,2室2厅,岳塘-湖湘公园,简装,7200
东方名苑,135.8,5室2厅,岳塘-湖湘公园,精装,9000
霞光山庄,87.3,3室1厅,岳塘-宝塔路,简装,6600
霞光山庄,101.5,3室2厅,岳塘-宝塔路,毛坯,5800
霞光山庄,92.8,3室1厅,岳塘-宝塔路,精装,7300
霞光山庄,74.2,2室1厅,岳塘-宝塔路,简装,6300
霞光山庄,115.6,4室2厅,岳塘-宝塔路,精装,7800
金侨书香庭苑,84.5,3室1厅,岳塘-书院路,简装,6000
金侨书香庭苑,96.7,3室2厅,岳塘-书院路,毛坯,5400
金侨书香庭苑,108.2,4室2厅,岳塘-书院路,精装,6700
金侨书香庭苑,72.3,2室1厅,岳塘-书院路,简装,5700
金侨书香庭苑,89.9,3室2厅,岳塘-书院路,简装,5900
华雅花园,91.2,3室2厅,岳塘-红旗商贸城,简装,6300
华雅花园,105.3,3室2厅,岳塘-红旗商贸城,精装,7000
华雅花园,77.5,2室1厅,岳塘-红旗商贸城,毛坯,5600
新城璟隽,98.6,3室2厅,岳塘-荷塘,简装,5800
新城璟隽,112.3,4室2厅,岳塘-荷塘,精装,6500
新城璟隽,83.7,2室2厅,岳塘-荷塘,毛坯,5100
新城璟隽,79.2,2室1厅,岳塘-荷塘,简装,5500
新城璟隽,106.8,3室2厅,岳塘-荷塘,精装,6300
中地凯旋城,102.5,3室2厅,岳塘-吉安路,简装,6900
中地凯旋城,120.3,4室2厅,岳塘-吉安路,精装,7600
中地凯旋城,94.7,3室2厅,岳塘-吉安路,简装,6700
中地凯旋城,94.7,3室2厅,岳塘-吉安路,简装,6700
中地凯旋城,73.8,2室1厅,岳塘-吉安路,简装,6400
盘龙名府岳塘店,88.9,3室1厅,岳塘-双拥路,简装,6700
盘龙名府岳塘店,105.6,3室2厅,岳塘-双拥路,精装,7400
盘龙名府岳塘店,75.3,2室1厅,岳塘-双拥路,毛坯,5900
盘龙名府岳塘店,92.4,3室2厅,岳塘-双拥路,简装,6500
盘龙名府岳塘店,116.2,4室2厅,岳塘-双拥路,精装,8000
湘江学府,96.3,3室2厅,岳塘-湘潭大道,简装,6400
湘江学府,109.8,3室2厅,岳塘-湘潭大道,精装,7100
湘江学府,82.5,2室2厅,岳塘-湘潭大道,毛坯,5700
湘江学府,78.6,2室1厅,岳塘-湘潭大道,简装,6200
湘江学府,123.4,4室2厅,岳塘-湘潭大道,精装,7800
尚玲珑,84.2,3室1厅,岳塘-晓塘路,简装,7000
尚玲珑,97.8,3室2厅,岳塘-晓塘路,精装,7700
尚玲珑,72.6,2室1厅,岳塘-晓塘路,毛坯,6200
尚玲珑,103.5,3室2厅,岳塘-晓塘路,简装,6800
尚玲珑,119.7,4室2厅,岳塘-晓塘路,精装,8300
锦绣华庭,89.5,3室2厅,岳塘-东湖路,简装,6100
锦绣华庭,101.2,3室2厅,岳塘-东湖路,精装,6800
锦绣华庭,76.8,2室1厅,岳塘-东湖路,毛坯,5400
锦绣华庭,93.7,3室1厅,岳塘-东湖路,简装,5900
锦绣华庭,114.3,4室2厅,岳塘-东湖路,精装,7300
帝景国际,105.4,3室2厅,岳塘-芙蓉中路,简装,7200
帝景国际,122.6,4室2厅,岳塘-芙蓉中路,精装,7900
帝景国际,87.8,3室1厅,岳塘-芙蓉中路,毛坯,6400
帝景国际,95.3,3室2厅,岳塘-芙蓉中路,简装,7000
帝景国际,78.2,2室2厅,岳塘-芙蓉中路,简装,6800
鑫天格林香山,92.6,3室2厅,岳塘-书院东路,简装,5900
鑫天格林香山,108.7,3室2厅,岳塘-书院东路,精装,6600
鑫天格林香山,81.3,2室1厅,岳塘-书院东路,毛坯,5200
鑫天格林香山,75.4,2室1厅,岳塘-书院东路,简装,5600
鑫天格林香山,117.8,4室2厅,岳塘-书院东路,精装,7100
长房上层国际,110.5,3室2厅,岳塘-双拥中路,简装,7500
长房上层国际,128.3,4室2厅,岳塘-双拥中路,精装,8200
长房上层国际,94.6,3室2厅,岳塘-双拥中路,毛坯,6700
长房上层国际,86.2,3室1厅,岳塘-双拥中路,简装,7300
长房上层国际,79.8,2室2厅,岳塘-双拥中路,简装,7100
湘潭中心,68.5,1室1厅,岳塘-建设路口,精装,8800
湘潭中心,89.7,2室2厅,岳塘-建设路口,精装,8500
湘潭中心,102.4,3室2厅,岳塘-建设路口,精装,9200
湘潭中心,59.3,1室1厅,岳塘-建设路口,简装,8000
湘潭中心,76.5,2室1厅,岳塘-建设路口,精装,8300
莱茵城,97.4,3室2厅,岳塘-火炬路,简装,6500
莱茵城,113.6,4室2厅,岳塘-火炬路,精装,7200
莱茵城,84.2,3室1厅,岳塘-火炬路,毛坯,5800
莱茵城,73.5,2室1厅,岳塘-火炬路,简装,6300
莱茵城,106.8,3室2厅,岳塘-火炬路,精装,7000
芙蓉世纪城,103.2,3室2厅,岳塘-芙蓉路,简装,6800
芙蓉世纪城,121.5,4室2厅,岳塘-芙蓉路,精装,7500
芙蓉世纪城,88.6,3室1厅,岳塘-芙蓉路,毛坯,6000
芙蓉世纪城,95.7,3室2厅,岳塘-芙蓉路,简装,6600
芙蓉世纪城,77.8,2室1厅,岳塘-芙蓉路,简装,6400
