小区名称,建筑面积(㎡),户型,所在区域,装修情况,成交单价(元/㎡)
湘潭碧桂园,108.5,3室2厅,湘潭县-易俗河,精装,6100
锦绣名都,115.89,三室两厅,湘潭县易俗河,中装,4140
盛世康城,37.4,一室一厅（公寓）,湘潭县易俗河,精装,6150
德智·江声壹号,120,三室两厅,湘潭县天易经开区,毛坯,5700
旺和·山水尚城,108,三室一厅,湘潭县天易经开区,毛坯,4180
天元·海棠印象,118,三室两厅,湘潭县易俗河,中装,4760
金霞美墅·兰庭,220,联排别墅,湘潭县易俗河,毛坯,9200
银港国际,135,四室两厅,湘潭县易俗河,毛坯,5300
十里风荷,95,两室两厅,湘潭县易俗河,毛坯,3800
昭祥新城,142,四室两厅,湘潭县天易经开区,精装,5400
盛世华庭,78,两室一厅,湘潭县易俗河,简装,4300
湖湘名都,150,五室两厅（别墅）,湘潭县易俗河,豪装,10500
滨江国际新城,71,两室一厅,湘潭县易俗河,简装,5630
子敬龙城,110,三室两厅,湘潭县易俗河,毛坯,3500
欣积福湾·七期,130,三室两厅,湘潭县天易经开区,中装,5200
